BillNo,ActNo,Assent,Remarks
4-2011,6-2011,28/4/201,GG34258
32-2008,69-2008,28/5/2009,GG32265
66-2008,14-2009,28/5/2009,GG32267
73-2008,13-2009,28/5/2009,GG32266
19-2012,6-2012,28/6/2012,GG35473
27–2006,3-2009,28/8/2009,GG 32534
27–2006,3-2009,28/8/2009,GG 32534
31-2008,1-2009,28/8/2009,GG32533
16-2011,26-2011,29/3/2012,GG35191
5-2012,2-2012,29/3/2012,GG35185
31–2007,10-2008,29/7/2007,GG31245
46–2007,8-2008,29/7/2007,GG31253
47–2007,5-2008,29/7/2007,GG31216
17-2008,6-2008,29/7/2008,GG31248
3–2008,9-2008,29/7/2008,GG31266
51–2007,12-2008,29/8/2007,GG31366
18-2008,11-2008,29/8/2008,GG31365
13-2009,21-2009,30/11/2009,GG32752
15-2009,20-2009,30/11/2009,GG32751
21B-2012,13-2013,30/7/2013,GG36716
7-2010,7-2013,30/7/2013,GG36715
7B-2010,7-2013,30/7/2013,GG36715
16B–2007,17-2008,30/9/2007,GG31470
1–2008,23-2008,30/9/2008,GG31472
21-2008,22-2008,30/9/2008,GG31471
24-2008,15-2008,30/9/2008,GG31449
29-2008,13-2008,30/9/2008,GG31448
10-2009,17-2009,30/9/2009,GG32610
11-2009,18-2009,30/9/2009,GG32611
50–2007,20-2008,31/10/2007,GG31540
25-2008,21-2008,31/100/2008,GG31541
7-2009,2-2010,31/5/2010,GG33232
7-2009,2-2010,31/5/2010,GG33232
11-2012,11-2012,4/10/2012,GG35741
23-2011,12-2012,4/10/2012,GG35742
23-2011,12-2012,4/10/2012,GG35742
13-2011,3-2012,4/5/2012,GG35308
9-2011,4-2012,4/5/2012,GG35309
29–2007,16-2008,5/11/2007,GG31577
48–2007,31-2008,5/11/2007,GG31579
26-2008,27-2008,5/11/2008,GG31578
11-2008,33-2008,5/12/2008,GG
34-2008,39-2008,5/12/2008,GG31651
43-2008,38-2008,5/12/2008,GG31650
55-2008,35-2008,5/12/2008,GG31649
60-2008,29-2008,5/12/2008,GG
76-2008,40-2008,5/12/2008,GG31652
77-2008,41-2008,5/12/2008,GG31653
78-2008,42-2008,5/12/2008,GG31654
11-2011,28-2011,5/7/2012,GG35491
5-2009,16-2009,5/8/2009,GG32461
12B-2012,19-2012,6/2/2013,GG36121
23-2012,23-2012,6/2/2013,GG36022
34-2012,22-2012,6/2/2013,GG36122
35-2012,21-2012,6/2/2013,GG36036
40-2012,20-2012,6/2/2013,GG36021
6B-2011, ,6/2/2013,GG36128
22-2010,7-2011,6/7/2011,GG34433
14B-2012,16-2013,6/8/2013,GG36730
17B-2012,6-2013,6/8/2013,GG36729
14–2007, ,8/2/2007, 
15–2007, ,8/2/2007, 
20–2007, ,8/2/2007, 
26–2007, ,8/2/2007, 
33–2007, ,8/2/2007, 
38–2007, ,8/2/2007, 
4-2010,1-2010,8/4/2010,GG33081
8-2012,24-2012,9/1/2012,
11-2010,22-2010,9/12/2010,GG33866
14-2010,11-2010,9/12/2010,GG33849
17-2010,17-2010,9/12/2010,GG33850
18-2010,18-2010,9/12/2010,GG33851
23-2010,19-2010,9/12/2010,GG33852
24-2010,26-2010,9/12/2010,GG33855
25-2010,24-2010,9/12/2010,GG33854
26-2010,25-2010,9/12/2010,GG33853
4–2008,2-2008,9/4/2008,GG30940
10-2010,4-2010,9/9/2010,GG33538
